date,headline,score
2025-01-01,Apple launches new AI-powered chip,0.7
2025-01-02,Supply chain disruption impacts iPhone shipments,-0.6
2025-01-03,Apple secures deal with healthcare providers,0.6
2025-01-04,Investors cautious ahead of Apple earnings,-0.3
2025-01-05,Apple announces dividend increase,0.4
2025-01-06,Global chip shortage eases,0.3
2025-01-07,Regulators investigate big tech antitrust,-0.7
2025-01-08,New Apple Watch receives positive reviews,0.5
2025-01-09,Weak demand in China weighs on Apple,-0.5
2025-01-10,Apple shares hit all-time high,0.6
2025-01-11,Analysts downgrade Apple amid valuation concerns,-0.4
2025-01-12,Apple expands services revenue,0.5
2025-01-13,Apple Car rumors spark optimism,0.7
2025-01-14,US dollar strength may hurt Apple earnings,-0.3
2025-01-15,Strong MacBook sales boost quarterly outlook,0.6
2025-01-16,Competition intensifies in smartphone market,-0.5
2025-01-17,Apple partners with major bank for payments,0.4
2025-01-18,Supply delays frustrate iPhone customers,-0.4
2025-01-19,Positive reviews push Apple Vision Pro sales,0.7
2025-01-20,Tech sector sees broad market selloff,-0.6
2025-01-21,Apple boosts R&D spending on AI,0.5
2025-01-22,Apple announces stock buyback,0.6
2025-01-23,China market uncertainty pressures Apple,-0.5
2025-01-24,Apple tops smartphone market share,0.7
2025-01-25,Investors rotate out of tech into energy,-0.4
2025-01-26,Apple earnings beat Wall Street expectations,0.8
2025-01-27,Apple faces lawsuit over app store practices,-0.6
2025-01-28,Strong iPad demand surprises analysts,0.5
2025-01-29,Global recession fears weigh on markets,-0.7
2025-01-30,Apple unveils new services bundle,0.6
2025-01-31,Analysts raise Apple price target,0.5
2025-02-01,Apple faces chip production delays,-0.5
2025-02-02,Apple increases presence in India,0.6
2025-02-03,Consumer spending slowdown hits tech sector,-0.4
2025-02-04,Apple launches new subscription model,0.5
2025-02-05,Apple accused of labor violations,-0.6
2025-02-06,Positive holiday sales reported,0.7
2025-02-07,Apple loses patent battle,-0.5
2025-02-08,Apple to expand cloud services,0.6
2025-02-09,Tech stocks decline on inflation fears,-0.6
2025-02-10,Apple signs deal with major automaker,0.7
2025-02-11,Apple recalls defective products,-0.6
2025-02-12,Strong services growth continues,0.5
2025-02-13,Apple warns on supply chain risks,-0.5
2025-02-14,Apple tops analyst expectations,0.7
2025-02-15,Competition grows in wearable tech,-0.4
2025-02-16,Apple announces sustainability initiative,0.6
2025-02-17,Tech stocks slump after Fed announcement,-0.7
2025-02-18,Apple launches new AR headset,0.8
2025-02-19,Apple fined in EU antitrust case,-0.6
2025-02-20,Positive reviews boost new iPhone sales,0.6
2025-02-21,Apple faces cybersecurity concerns,-0.5
2025-02-22,Apple increases dividends again,0.5
2025-02-23,Weak global demand hits tech sector,-0.6
2025-02-24,Apple revenue hits record high,0.8
2025-02-25,Apple delays product launch,-0.5
2025-02-26,Apple expands partnership in healthcare,0.6
2025-02-27,Analysts cut Apple forecasts,-0.5
2025-02-28,Apple leads global innovation index,0.7
2025-03-01,Apple stock faces selling pressure,-0.4
2025-03-02,Apple launches new AI lab,0.6
2025-03-03,Tech stocks dragged lower by market fears,-0.6
2025-03-04,Apple secures deal with government agencies,0.7
2025-03-05,Apple supply chain faces delays,-0.5
2025-03-06,Apple reports strong quarterly results,0.8
2025-03-07,Apple under investigation by regulators,-0.6
2025-03-08,Apple signs content deals for TV+,0.6
2025-03-09,Markets slump on economic slowdown,-0.7
2025-03-10,Apple shares rally after earnings,0.7
2025-03-11,Apple warns of margin pressure,-0.5
2025-03-12,Strong demand for Apple services,0.6
2025-03-13,Apple faces antitrust fine in Asia,-0.6
2025-03-14,Apple stock hits record closing high,0.7
2025-03-15,Investors shift from tech to bonds,-0.5
2025-03-16,Apple increases investment in green energy,0.6
2025-03-17,Tech selloff hits Apple shares,-0.7
2025-03-18,Apple unveils new MacBook line,0.7
2025-03-19,Apple sued over privacy violations,-0.6
2025-03-20,Apple expands AI features across devices,0.8
2025-03-21,Apple hit with EU tax investigation,-0.6
2025-03-22,Apple services revenue exceeds forecasts,0.6
2025-03-23,Global market correction impacts Apple,-0.7
2025-03-24,Apple announces stock split,0.8
2025-03-25,Apple faces supply chain risks in Asia,-0.5
2025-03-26,Apple acquires AI startup,0.7
2025-03-27,Analysts cut global tech outlook,-0.6
2025-03-28,Apple shares outperform peers,0.6
2025-03-29,Apple delays software release,-0.4
2025-03-30,Apple launches subscription bundle,0.7
2025-03-31,Tech stocks decline amid inflation worries,-0.6
